timestamp: 1780 | hand: Left | pinchStrength: 0,5549565 | finger: index
timestamp: 1798 | hand: Left | pinchStrength: 0,6510019 | finger: index
timestamp: 1818 | hand: Left | pinchStrength: 0,7407788 | finger: index
timestamp: 1836 | hand: Left | pinchStrength: 0,8175011 | finger: index
timestamp: 1854 | hand: Left | pinchStrength: 0,8724586 | finger: index
timestamp: 1871 | hand: Left | pinchStrength: 0,9017841 | finger: index
timestamp: 1888 | hand: Left | pinchStrength: 0,9206626 | finger: index
timestamp: 1912 | hand: Left | pinchStrength: 0,9243618 | finger: index
timestamp: 1924 | hand: Left | pinchStrength: 0,9185291 | finger: index
timestamp: 1941 | hand: Left | pinchStrength: 0,9172089 | finger: index
timestamp: 1959 | hand: Left | pinchStrength: 0,9179161 | finger: index
timestamp: 1977 | hand: Left | pinchStrength: 0,9177574 | finger: index
timestamp: 1998 | hand: Left | pinchStrength: 0,9146926 | finger: index
timestamp: 2016 | hand: Left | pinchStrength: 0,910857 | finger: index
timestamp: 2034 | hand: Left | pinchStrength: 0,9072499 | finger: index
timestamp: 2052 | hand: Left | pinchStrength: 0,904055 | finger: index
timestamp: 2072 | hand: Left | pinchStrength: 0,8996333 | finger: index
timestamp: 2089 | hand: Left | pinchStrength: 0,8944096 | finger: index
timestamp: 2107 | hand: Left | pinchStrength: 0,8892996 | finger: index
timestamp: 2126 | hand: Left | pinchStrength: 0,8844208 | finger: index
timestamp: 2141 | hand: Left | pinchStrength: 0,8805019 | finger: index
timestamp: 2158 | hand: Left | pinchStrength: 0,8782154 | finger: index
timestamp: 2176 | hand: Left | pinchStrength: 0,8775614 | finger: index
timestamp: 2195 | hand: Left | pinchStrength: 0,8770359 | finger: index
timestamp: 2212 | hand: Left | pinchStrength: 0,8775166 | finger: index
timestamp: 2231 | hand: Left | pinchStrength: 0,8782673 | finger: index
timestamp: 2249 | hand: Left | pinchStrength: 0,8807946 | finger: index
timestamp: 2267 | hand: Left | pinchStrength: 0,8848005 | finger: index
timestamp: 2285 | hand: Left | pinchStrength: 0,8892513 | finger: index
timestamp: 2304 | hand: Left | pinchStrength: 0,8966178 | finger: index
timestamp: 2321 | hand: Left | pinchStrength: 0,904364 | finger: index
timestamp: 2340 | hand: Left | pinchStrength: 0,9120396 | finger: index
timestamp: 2360 | hand: Left | pinchStrength: 0,9182928 | finger: index
timestamp: 2377 | hand: Left | pinchStrength: 0,9256834 | finger: index
timestamp: 2394 | hand: Left | pinchStrength: 0,9335518 | finger: index
timestamp: 2414 | hand: Left | pinchStrength: 0,9385151 | finger: index
timestamp: 2432 | hand: Left | pinchStrength: 0,9430226 | finger: index
timestamp: 2450 | hand: Left | pinchStrength: 0,9484528 | finger: index
timestamp: 2468 | hand: Left | pinchStrength: 0,9526798 | finger: index
timestamp: 2487 | hand: Left | pinchStrength: 0,9571893 | finger: index
timestamp: 2502 | hand: Left | pinchStrength: 0,9636786 | finger: index
timestamp: 2521 | hand: Left | pinchStrength: 0,9685335 | finger: index
timestamp: 2539 | hand: Left | pinchStrength: 0,9711199 | finger: index
timestamp: 2557 | hand: Left | pinchStrength: 0,971757 | finger: index
timestamp: 2576 | hand: Left | pinchStrength: 0,9722964 | finger: index
timestamp: 2594 | hand: Left | pinchStrength: 0,9727151 | finger: index
timestamp: 2614 | hand: Left | pinchStrength: 0,9713656 | finger: index
timestamp: 2631 | hand: Left | pinchStrength: 0,9670461 | finger: index
timestamp: 2649 | hand: Left | pinchStrength: 0,9616395 | finger: index
timestamp: 2667 | hand: Left | pinchStrength: 0,9572452 | finger: index
timestamp: 2686 | hand: Left | pinchStrength: 0,9513863 | finger: index
timestamp: 2703 | hand: Left | pinchStrength: 0,9435667 | finger: index
timestamp: 2719 | hand: Left | pinchStrength: 0,9325242 | finger: index
timestamp: 2738 | hand: Left | pinchStrength: 0,9168924 | finger: index
