timestamp: 1471 | hand: Left | pinchStrength: 0,7877727 | finger: index | distance: 32,47544
timestamp: 1489 | hand: Left | pinchStrength: 0,7914698 | finger: index | distance: 32,33574
timestamp: 1507 | hand: Left | pinchStrength: 0,7952846 | finger: index | distance: 32,19209
timestamp: 1525 | hand: Left | pinchStrength: 0,7995094 | finger: index | distance: 32,03512
timestamp: 1544 | hand: Left | pinchStrength: 0,8018258 | finger: index | distance: 31,96087
timestamp: 1563 | hand: Left | pinchStrength: 0,8033104 | finger: index | distance: 31,91586
timestamp: 1579 | hand: Left | pinchStrength: 0,8036998 | finger: index | distance: 31,91356
timestamp: 1597 | hand: Left | pinchStrength: 0,802623 | finger: index | distance: 31,96204
timestamp: 1615 | hand: Left | pinchStrength: 0,8002312 | finger: index | distance: 32,04673
timestamp: 1633 | hand: Left | pinchStrength: 0,7964753 | finger: index | distance: 32,16611
timestamp: 1651 | hand: Left | pinchStrength: 0,7934895 | finger: index | distance: 32,23481
timestamp: 1670 | hand: Left | pinchStrength: 0,8636087 | finger: index | distance: 29,45441
timestamp: 1688 | hand: Left | pinchStrength: 0,9372543 | finger: index | distance: 26,56304
timestamp: 1705 | hand: Left | pinchStrength: 1 | finger: index | distance: 24,00548
timestamp: 1724 | hand: Left | pinchStrength: 1 | finger: index | distance: 21,721
timestamp: 1742 | hand: Left | pinchStrength: 1 | finger: index | distance: 19,40372
timestamp: 1760 | hand: Left | pinchStrength: 1 | finger: index | distance: 17,00455
timestamp: 1778 | hand: Left | pinchStrength: 1 | finger: index | distance: 14,98867
timestamp: 1796 | hand: Left | pinchStrength: 1 | finger: index | distance: 14,08761
timestamp: 1814 | hand: Left | pinchStrength: 1 | finger: index | distance: 14,30759
timestamp: 1832 | hand: Left | pinchStrength: 1 | finger: index | distance: 15,9583
timestamp: 1850 | hand: Left | pinchStrength: 0,9286503 | finger: index | distance: 18,92807
timestamp: 1869 | hand: Left | pinchStrength: 0,8086129 | finger: index | distance: 22,86231
timestamp: 1887 | hand: Left | pinchStrength: 0,680637 | finger: index | distance: 27,39641
timestamp: 1908 | hand: Left | pinchStrength: 0,5497642 | finger: index | distance: 32,18551
timestamp: 1927 | hand: Left | pinchStrength: 0,4163507 | finger: index | distance: 37,14615
timestamp: 1946 | hand: Left | pinchStrength: 0,2773919 | finger: index | distance: 42,36699
timestamp: 1965 | hand: Left | pinchStrength: 0,126534 | finger: index | distance: 48,08664
timestamp: 1978 | hand: Left | pinchStrength: 0 | finger: index | distance: 53,99158
timestamp: 1996 | hand: Left | pinchStrength: 0 | finger: index | distance: 59,9237
timestamp: 2013 | hand: Left | pinchStrength: 0 | finger: index | distance: 64,93977
timestamp: 2031 | hand: Left | pinchStrength: 0 | finger: index | distance: 69,29771
timestamp: 2049 | hand: Left | pinchStrength: 0 | finger: index | distance: 73,26504
timestamp: 2068 | hand: Left | pinchStrength: 0 | finger: index | distance: 77,17902
timestamp: 2085 | hand: Left | pinchStrength: 0 | finger: index | distance: 81,03393
timestamp: 2103 | hand: Left | pinchStrength: 0 | finger: index | distance: 84,45103
timestamp: 2122 | hand: Left | pinchStrength: 0 | finger: index | distance: 87,16311
timestamp: 2140 | hand: Left | pinchStrength: 0 | finger: index | distance: 89,48904
timestamp: 2157 | hand: Left | pinchStrength: 0 | finger: index | distance: 91,13106
timestamp: 2176 | hand: Left | pinchStrength: 0 | finger: index | distance: 92,69716
timestamp: 2194 | hand: Left | pinchStrength: 0 | finger: index | distance: 94,06481
timestamp: 2213 | hand: Left | pinchStrength: 0 | finger: index | distance: 95,20634
timestamp: 2230 | hand: Left | pinchStrength: 0 | finger: index | distance: 96,06464
