timestamp,hand,pinchStrength,finger
5406,Left,0,index
5425,Left,0,index
5442,Left,0,index
5460,Left,0,index
5478,Left,0,index
5496,Left,0,index
5514,Left,0,index
5532,Left,0,index
5551,Left,0,middle
5568,Left,0,middle
5587,Left,0,middle
5605,Left,0,middle
5623,Left,0,middle
5642,Left,0,middle
5659,Left,0,middle
5677,Left,0,middle
5695,Left,0,middle
5713,Left,0,ring
5731,Left,0,ring
5750,Left,0,07451906,ring
5767,Left,0,2947119,ring
5786,Left,0,4783294,ring
5804,Left,0,6402668,ring
5827,Left,0,7747273,ring
5846,Left,0,8716387,ring
5859,Left,0,9352434,ring
5876,Left,0,9649376,ring
5893,Left,0,9620864,ring
5912,Left,0,9336562,ring
5930,Left,0,8972251,ring
5950,Left,0,8666897,ring
5969,Left,0,8428214,ring
5986,Left,0,8340874,ring
6004,Left,0,8356275,ring
6023,Left,0,8431237,ring
6040,Left,0,8570943,ring
6059,Left,0,8882007,ring
6078,Left,0,9209202,ring
6095,Left,0,9546431,ring
6113,Left,0,9940312,ring
6131,Left,1,ring
6149,Left,1,ring
6167,Left,1,ring
6184,Left,1,ring
6203,Left,1,ring
6219,Left,1,ring
6236,Left,1,ring
6255,Left,1,ring
6273,Left,1,ring
6291,Left,1,ring
6312,Left,1,ring
6330,Left,1,ring
6348,Left,1,ring
6364,Left,1,ring
6382,Left,1,ring
6400,Left,1,ring
6418,Left,1,ring
6436,Left,1,ring
6454,Left,1,ring
6472,Left,1,ring
6490,Left,1,ring
6510,Left,1,ring
6529,Left,1,ring
6547,Left,1,ring
6564,Left,1,ring
6583,Left,1,ring
6600,Left,1,ring
6619,Left,1,ring
6637,Left,1,ring
6655,Left,1,ring
6673,Left,1,ring
6690,Left,0,5189861,ring
6708,Left,0,ring
6726,Left,0,index
6743,Left,0,index
6762,Left,0,index
6782,Left,0,index
6800,Left,0,index
6818,Left,0,index
6837,Left,0,index
6854,Left,0,index
6871,Left,0,index
6889,Left,0,index
6907,Left,0,index
6925,Left,0,index
6943,Left,0,index
6961,Left,0,index
6979,Left,0,index
6997,Left,0,index
7016,Left,0,index
7034,Left,0,index
7051,Left,0,index
7069,Left,0,index
7087,Left,0,index
7105,Left,0,index
7124,Left,0,index
7142,Left,0,index
7159,Left,0,index
7178,Left,0,index
7241,Left,0,index
7258,Left,0,index
7278,Left,0,index
7291,Left,0,index
7306,Left,0,index
7322,Left,0,pinky
7340,Left,0,pinky
7358,Left,0,pinky
7376,Left,0,pinky
7393,Left,0,pinky
7411,Left,0,pinky
7430,Left,0,03664757,pinky
7448,Left,0,1269743,pinky
7466,Left,0,2371486,pinky
7484,Left,0,3263642,pinky
7503,Left,0,4088308,pinky
7520,Left,0,4934322,pinky
7538,Left,0,5795319,pinky
7556,Left,0,669103,pinky
7574,Left,0,7591453,pinky
7593,Left,0,8489522,pinky
7610,Left,0,9478271,pinky
7629,Left,1,pinky
