timestamp,hand,pinch strength,finger,distance
73,left,0.477895,index,54.10401645491396
86,left,0.475311,index,53.842465283352325
104,left,0.464467,index,53.48356073844186
122,left,0.456563,index,53.21465061498479
145,left,0.44861,index,52.96326422092203
161,left,0.440886,index,52.74055216278455
178,left,0.433593,index,52.53752006155221
197,left,0.427268,index,52.371729200690886
214,left,0.421056,index,52.21907119133105
235,left,0.417076,index,52.111630546318544
253,left,0.414366,index,52.02771040586448
271,left,0.411269,index,51.935601774587155
290,left,0.407997,index,51.83498979239795
308,left,0.404699,index,51.73514274779571
326,left,0.40039,index,51.61404712240652
344,left,0.395516,index,51.478105554813304
362,left,0.390369,index,51.30929357704801
420,right,0.217313,index,50.55087906146956
903,left,0.750292,index,23.57174045084217
921,left,0.440703,index,33.89604223943871
939,left,0.413878,index,34.821991072540634
958,left,0.328313,index,37.82111536932379
976,left,0.319831,index,38.483980315775554
999,left,0.317363,index,38.29882348871829
1012,left,0.186723,index,40.1812449932005
2152,left,0.0784987,index,74.19421833337543
2170,left,0.163695,index,71.1893839518576
2189,left,0.251434,index,68.08549087019495
2206,left,0.332505,index,65.19331839193721
2225,left,0.405146,index,62.63295633905524
2242,left,0.463227,index,60.61939654599178
2260,left,0.506796,index,59.20666778883946
2278,left,0.538336,index,58.29477040823559
2296,left,0.565292,index,57.54926996382925
2315,left,0.580183,index,56.68973234366344
2331,left,0.600242,index,56.03774052020031
2348,left,0.638739,index,54.612885960264904
2366,left,0.697317,index,52.336630599581014
2384,left,0.762405,index,49.66250036307173
2402,left,0.822135,index,47.04457017495324
2424,left,0.867446,index,45.052535313552546
2439,left,0.90102,index,43.63261863529279
2455,left,0.92619,index,42.51885961091266
2479,left,0.943856,index,41.73891929916849
2498,left,0.954725,index,41.26697728164858
2522,left,0.96204,index,40.83439460639033
2535,left,0.969877,index,40.276800972271865
2546,left,0.975358,index,39.761249583634815
2565,left,0.985406,index,39.20090939330872
2583,left,0.996067,index,38.72314173514334
2601,left,1,index,38.447205713856505
2619,left,1,index,38.0636512320928
2637,left,1,index,37.61993742121855
2655,left,1,index,36.73644067165599
2673,left,1,index,34.88480983170756
2691,left,1,index,32.88154032955421
2710,left,1,index,31.033048429738578
2727,left,1,index,29.456884090563623
2745,left,1,index,28.1646542887162
2764,left,1,index,27.16993895852547
2782,left,1,index,26.449241080652964
2800,left,1,index,25.887648258327754
2818,left,1,index,25.49361999042898
2836,left,1,index,25.147266782503426
2854,left,1,index,24.84012160076718
2872,left,1,index,24.59320486241881
2890,left,1,index,24.412812563578175
2909,left,1,index,24.260684969186254
2926,left,1,index,24.145515808248952
2945,left,1,index,23.95467325234056
2963,left,1,index,23.688197473089843
2980,left,1,index,23.3179309417967
2999,left,1,index,22.86826276880035
3017,left,1,index,22.424832718816425
3035,left,1,index,22.003141111852642
3053,left,1,index,21.662770936553798
3071,left,1,index,21.262753692127934
3089,left,1,index,21.08627549000534
3107,left,1,index,20.636313823442407
3126,left,1,index,19.24183886507732
3143,left,1,index,18.526601795137715
3167,left,0.954104,index,19.900053472252278
3186,left,0.610685,index,27.61161116858269
3199,left,0.0944519,index,44.549064203981885
3816,left,0.043564,ring,69.62224403668773
3833,left,0.126591,ring,67.38540725960257
3853,left,0.218901,ring,64.69412765228387
3870,left,0.309784,ring,61.96746748577111
3888,left,0.395313,ring,59.33961314153978
3907,left,0.47761,ring,56.667211891886836
3925,left,0.553096,ring,54.13335644877381
3942,left,0.625064,ring,51.447582859789435
3961,left,0.698628,ring,48.64188775989682
3979,left,0.764965,ring,45.901989719401065
3998,left,0.822487,ring,43.41914365277256
4015,left,0.86552,ring,41.38124969790545
4033,left,0.903865,ring,39.569183383971925
4051,left,0.937218,ring,37.982179981630864
4071,left,0.970675,ring,36.61287446062792
4087,left,0.973732,ring,36.02095577155053
4105,left,0.964594,ring,35.55278321313959
4124,left,0.947426,ring,35.24967041696985
4141,left,0.921793,ring,35.11114467878967
4159,left,0.889586,ring,35.139687712461246
4177,left,0.856214,ring,35.26616388338828
4196,left,0.82344,ring,35.43572737741388
4214,left,0.796882,ring,35.54456156066775
4232,left,0.774058,ring,35.59256457707986
4250,left,0.778154,ring,35.56678470880521
4268,left,0.823107,ring,35.51414663215209
4286,left,0.855586,ring,35.452998161419295
4304,left,0.875315,ring,35.38035579904334
4323,left,0.885112,ring,35.39014411499478
4341,left,0.881035,ring,35.55629959532347
4358,left,0.868786,ring,35.72417743227267
4376,left,0.859066,ring,35.861004993284844
4394,left,0.855265,ring,36.01361952136442
4413,left,0.902275,index,32.40608765031965
4431,left,0.955068,index,29.069963570168095
4449,left,0.96598,index,27.068773790569086
4467,left,0.960839,index,26.095487474323992
4482,left,0.947751,index,25.62290119298749
4500,left,0.931641,index,25.57116775667667
4518,left,0.911911,index,25.791489642515813
4536,left,0.886754,index,25.871387828379053
4554,left,0.860435,index,26.01630164464003
4572,left,0.837279,index,26.084894598424206
4590,left,0.815123,index,26.151568386779395
4609,left,0.791279,index,26.239758212803704
4627,left,0.769235,index,26.323325502012473
4644,left,0.749189,index,26.403982530777437
